Date : 2021-09-21 07:40:22
Directory : /home/nsmyth/Dev/Alkemio/client-web/src
Total : 377 files,  35436 codes, 3414 comments, 3685 blanks, all 42535 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/core/Loading/Loading.styles.ts                                           | TypeScript       |         16 |          0 |          2 |         18 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/core/Loading/Loading.tsx                                                 | TypeScript React |         19 |          0 |          4 |         23 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/core/Markdown.tsx                                                        | TypeScript React |          8 |          1 |          4 |         13 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/core/MultipleSelect.tsx                                                  | TypeScript React |        309 |          3 |         26 |        338 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/core/RemoveModal.spec.tsx                                                | TypeScript React |         50 |         15 |         17 |         82 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/core/RemoveModal.tsx                                                     | TypeScript React |         27 |          0 |          4 |         31 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/core/Required.tsx                                                        | TypeScript React |          4 |          0 |          2 |          6 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/core/ScrollButton/ScrollButton.tsx                                       | TypeScript React |         35 |          0 |          7 |         42 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/core/Section.tsx                                                         | TypeScript React |        232 |          0 |         24 |        256 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/core/Spacer.tsx                                                          | TypeScript React |         17 |          0 |          5 |         22 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/core/Spinner.tsx                                                         | TypeScript React |         14 |          1 |          5 |         20 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/core/Tag.spec.tsx                                                        | TypeScript React |         10 |          3 |          4 |         17 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/core/Tag.tsx                                                             | TypeScript React |         53 |          0 |          6 |         59 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/core/TagContainer.tsx                                                    | TypeScript React |         21 |          0 |          6 |         27 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/core/TagsInput/TagsInput.tsx                                             | TypeScript React |         42 |          1 |          5 |         48 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/core/TextInput.spec.tsx                                                  | TypeScript React |         59 |         19 |         20 |         98 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/core/TextInput.tsx                                                       | TypeScript React |        159 |          0 |         18 |        177 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/core/Thumbnail.tsx                                                       | TypeScript React |         29 |          0 |          5 |         34 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/core/Toolbar.spec.tsx                                                    | TypeScript React |         10 |          3 |          4 |         17 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/core/Toolbar.tsx                                                         | TypeScript React |         48 |          1 |          6 |         55 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/core/Typography.tsx                                                      | TypeScript React |        139 |          1 |         12 |        152 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/core/UploadButton.tsx                                                    | TypeScript React |         30 |          0 |          7 |         37 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/core/card-filter/CardFilter.tsx                                          | TypeScript React |         66 |          0 |          9 |         75 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/core/card-filter/filterFn.spec.ts                                        | TypeScript       |        293 |          7 |          5 |        305 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/core/card-filter/filterFn.ts                                             | TypeScript       |         42 |          1 |          9 |         52 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/core/card-filter/most-common-tags.spec.ts                                | TypeScript       |         33 |          4 |          5 |         42 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/core/card-filter/most-common-tags.ts                                     | TypeScript       |         23 |          1 |          5 |         29 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/core/dialog/DialogActions.ts                                             | TypeScript       |         10 |          0 |          2 |         12 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/core/dialog/DialogContent.ts                                             | TypeScript       |          8 |          0 |          2 |         10 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/core/dialog/DialogTitle.tsx                                              | TypeScript React |         38 |          0 |          4 |         42 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/core/dialog/index.ts                                                     | TypeScript       |          4 |          0 |          1 |          5 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/core/index.tsx                                                           | TypeScript React |          3 |          0 |          1 |          4 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/icons/FontDownloadIcon.tsx                                               | TypeScript React |         10 |          0 |          2 |         12 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/icons/FontDownloadOffIcon.tsx                                            | TypeScript React |         10 |          0 |          2 |         12 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/search/ChallengeSearchCard.tsx                                           | TypeScript React |         38 |          1 |          6 |         45 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/search/EntitySearchCardProps.ts                                          | TypeScript       |          5 |          0 |          1 |          6 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/search/OpportunitySearchCard.tsx                                         | TypeScript React |         38 |          1 |          6 |         45 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/search/OrganizationSearchCard.tsx                                        | TypeScript React |        110 |          0 |          8 |        118 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/search/PopUp.tsx                                                         | TypeScript React |        111 |          0 |          7 |        118 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/search/SearchCard.tsx                                                    | TypeScript React |         75 |          0 |          8 |         83 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/search/UserCard.tsx                                                      | TypeScript React |         97 |          0 |         10 |        107 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/search/index.ts                                                          | TypeScript       |          4 |          0 |          1 |          5 |
| /home/nsmyth/Dev/Alkemio/client-web/src/config/graphql/typePolicies.ts                                                      | TypeScript       |         35 |          0 |          2 |         37 |
| /home/nsmyth/Dev/Alkemio/client-web/src/containers/ErrorBoundary.tsx                                                        | TypeScript React |         28 |          4 |          4 |         36 |
| /home/nsmyth/Dev/Alkemio/client-web/src/containers/NotificationHandler.tsx                                                  | TypeScript React |         38 |          0 |          5 |         43 |
| /home/nsmyth/Dev/Alkemio/client-web/src/containers/community-updates/CommunityUpdates.graphql                               | GraphQL          |         18 |          0 |          2 |         20 |
| /home/nsmyth/Dev/Alkemio/client-web/src/containers/community-updates/CommunityUpdates.tsx                                   | TypeScript React |         55 |          0 |          9 |         64 |
| /home/nsmyth/Dev/Alkemio/client-web/src/containers/organization/OrganizationMembers.graphql                                 | GraphQL          |         32 |          0 |          5 |         37 |
| /home/nsmyth/Dev/Alkemio/client-web/src/containers/organization/OrganizationMembers.tsx                                     | TypeScript React |        231 |          0 |         23 |        254 |
| /home/nsmyth/Dev/Alkemio/client-web/src/context/ApolloProvider.tsx                                                          | TypeScript React |         11 |          0 |          3 |         14 |
| /home/nsmyth/Dev/Alkemio/client-web/src/context/AuthenticationProvider.tsx                                                  | TypeScript React |         30 |          0 |          6 |         36 |
| /home/nsmyth/Dev/Alkemio/client-web/src/context/AvatarsProvider.tsx                                                         | TypeScript React |         21 |          0 |          6 |         27 |
| /home/nsmyth/Dev/Alkemio/client-web/src/context/ConfigProvider.tsx                                                          | TypeScript React |         67 |          1 |          9 |         77 |
| /home/nsmyth/Dev/Alkemio/client-web/src/context/EcoverseProvider.tsx                                                        | TypeScript React |         43 |          1 |          8 |         52 |
| /home/nsmyth/Dev/Alkemio/client-web/src/context/GlobalStateProvider.tsx                                                     | TypeScript React |         47 |          0 |          4 |         51 |
| /home/nsmyth/Dev/Alkemio/client-web/src/context/NavigationProvider.tsx                                                      | TypeScript React |         28 |          1 |          7 |         36 |
| /home/nsmyth/Dev/Alkemio/client-web/src/context/OrganizationProvider.tsx                                                    | TypeScript React |         36 |          0 |          5 |         41 |
| /home/nsmyth/Dev/Alkemio/client-web/src/context/SentryErrorBoundaryProvider.tsx                                             | TypeScript React |         11 |          0 |          3 |         14 |
| /home/nsmyth/Dev/Alkemio/client-web/src/context/ThemeProvider.tsx                                                           | TypeScript React |          7 |          1 |          3 |         11 |
| /home/nsmyth/Dev/Alkemio/client-web/src/context/UserProvider.tsx                                                            | TypeScript React |         69 |          0 |          9 |         78 |
| /home/nsmyth/Dev/Alkemio/client-web/src/hooks/authentication/useAuthenticate.ts                                             | TypeScript       |         14 |          0 |          5 |         19 |
| /home/nsmyth/Dev/Alkemio/client-web/src/hooks/authentication/useAuthenticationContext.ts                                    | TypeScript       |          5 |          0 |          2 |          7 |
| /home/nsmyth/Dev/Alkemio/client-web/src/hooks/generated/graphql.ts                                                          | TypeScript       |      5,961 |      2,319 |        142 |      8,422 |
| /home/nsmyth/Dev/Alkemio/client-web/src/hooks/graphql/useApolloErrorHandler.ts                                              | TypeScript       |         16 |          0 |          3 |         19 |
| /home/nsmyth/Dev/Alkemio/client-web/src/hooks/graphql/useGraphQLClient.ts                                                   | TypeScript       |         79 |         11 |         13 |        103 |
| /home/nsmyth/Dev/Alkemio/client-web/src/hooks/index.ts                                                                      | TypeScript       |         22 |          0 |          4 |         26 |
| /home/nsmyth/Dev/Alkemio/client-web/src/hooks/kratos/useKratosClient.ts                                                     | TypeScript       |         14 |          0 |          4 |         18 |
| /home/nsmyth/Dev/Alkemio/client-web/src/hooks/kratos/useWhoami.ts                                                           | TypeScript       |         39 |          0 |          5 |         44 |
| /home/nsmyth/Dev/Alkemio/client-web/src/hooks/operations/useDeleteUserGroup.ts                                              | TypeScript       |         45 |          0 |          8 |         53 |
| /home/nsmyth/Dev/Alkemio/client-web/src/hooks/operations/useEditReference.ts                                                | TypeScript       |        104 |          0 |         13 |        117 |
| /home/nsmyth/Dev/Alkemio/client-web/src/hooks/useAvailableMembers.ts                                                        | TypeScript       |         55 |          9 |          6 |         70 |
| /home/nsmyth/Dev/Alkemio/client-web/src/hooks/useConfig.ts                                                                  | TypeScript       |         17 |          0 |          3 |         20 |
| /home/nsmyth/Dev/Alkemio/client-web/src/hooks/useCredentialsResolver.ts                                                     | TypeScript       |         20 |          8 |          7 |         35 |
| /home/nsmyth/Dev/Alkemio/client-web/src/hooks/useEcoverse.ts                                                                | TypeScript       |         11 |          0 |          2 |         13 |
| /home/nsmyth/Dev/Alkemio/client-web/src/hooks/useGlobalState.ts                                                             | TypeScript       |          9 |          0 |          2 |         11 |
| /home/nsmyth/Dev/Alkemio/client-web/src/hooks/useNavigateToEdit.ts                                                          | TypeScript       |         13 |          0 |          3 |         16 |
| /home/nsmyth/Dev/Alkemio/client-web/src/hooks/useNavigation.ts                                                              | TypeScript       |         11 |          0 |          4 |         15 |
| /home/nsmyth/Dev/Alkemio/client-web/src/hooks/useNotification.ts                                                            | TypeScript       |         18 |          0 |          3 |         21 |
| /home/nsmyth/Dev/Alkemio/client-web/src/hooks/useOrganization.ts                                                            | TypeScript       |         11 |          0 |          2 |         13 |
| /home/nsmyth/Dev/Alkemio/client-web/src/hooks/useQueryParams.ts                                                             | TypeScript       |          4 |          0 |          2 |          6 |
| /home/nsmyth/Dev/Alkemio/client-web/src/hooks/useSentry.ts                                                                  | TypeScript       |         15 |          0 |          4 |         19 |
| /home/nsmyth/Dev/Alkemio/client-web/src/hooks/useTheme.ts                                                                   | TypeScript       |          4 |          1 |          3 |          8 |
| /home/nsmyth/Dev/Alkemio/client-web/src/hooks/user/useUserContext.ts                                                        | TypeScript       |          6 |          0 |          3 |          9 |
| /home/nsmyth/Dev/Alkemio/client-web/src/hooks/user/useUserMetadata.ts                                                       | TypeScript       |         18 |          1 |          3 |         22 |
| /home/nsmyth/Dev/Alkemio/client-web/src/hooks/user/useUserMetadataWrapper.ts                                                | TypeScript       |         85 |          0 |         12 |         97 |
| /home/nsmyth/Dev/Alkemio/client-web/src/i18n/config.ts                                                                      | TypeScript       |         14 |          0 |          4 |         18 |
| /home/nsmyth/Dev/Alkemio/client-web/src/i18n/en/translation.en.json                                                         | JSON             |        641 |          0 |          1 |        642 |
| /home/nsmyth/Dev/Alkemio/client-web/src/index.tsx                                                                           | TypeScript React |          5 |          0 |          2 |          7 |
| /home/nsmyth/Dev/Alkemio/client-web/src/models/Group.ts                                                                     | TypeScript       |          9 |          0 |          2 |         11 |
| /home/nsmyth/Dev/Alkemio/client-web/src/models/Profile.ts                                                                   | TypeScript       |         11 |          0 |          2 |         13 |
| /home/nsmyth/Dev/Alkemio/client-web/src/models/Role.ts                                                                      | TypeScript       |          9 |          0 |          2 |         11 |
| /home/nsmyth/Dev/Alkemio/client-web/src/models/User.ts                                                                      | TypeScript       |         80 |          3 |          5 |         88 |
| /home/nsmyth/Dev/Alkemio/client-web/src/models/apollo-helpers.ts                                                            | TypeScript       |      1,258 |          0 |          1 |      1,259 |
| /home/nsmyth/Dev/Alkemio/client-web/src/models/constants/authentication.constants.ts                                        | TypeScript       |          6 |          0 |          1 |          7 |
| /home/nsmyth/Dev/Alkemio/client-web/src/models/constants/common.constants.ts                                                | TypeScript       |         12 |          0 |          5 |         17 |
| /home/nsmyth/Dev/Alkemio/client-web/src/models/constants/configuration.constants.ts                                         | TypeScript       |          1 |          0 |          1 |          2 |
| /home/nsmyth/Dev/Alkemio/client-web/src/models/constants/countries.constants.ts                                             | TypeScript       |        249 |          0 |          2 |        251 |
| /home/nsmyth/Dev/Alkemio/client-web/src/models/constants/erros.constants.ts                                                 | TypeScript       |         21 |          0 |          1 |         22 |
| /home/nsmyth/Dev/Alkemio/client-web/src/models/constants/features.constants.ts                                              | TypeScript       |          2 |          0 |          1 |          3 |
| /home/nsmyth/Dev/Alkemio/client-web/src/models/constants/field-length.constants.ts                                          | TypeScript       |          6 |          0 |          1 |          7 |
| /home/nsmyth/Dev/Alkemio/client-web/src/models/constants/index.ts                                                           | TypeScript       |          5 |          0 |          1 |          6 |
| /home/nsmyth/Dev/Alkemio/client-web/src/models/graphql-schema.ts                                                            | TypeScript       |      4,402 |        425 |        563 |      5,390 |
| /home/nsmyth/Dev/Alkemio/client-web/src/pages/About.tsx                                                                     | TypeScript React |         94 |          0 |          7 |        101 |
| /home/nsmyth/Dev/Alkemio/client-web/src/pages/Admin/AuthorizationPageProps.ts                                               | TypeScript       |          5 |          0 |          2 |          7 |
| /home/nsmyth/Dev/Alkemio/client-web/src/pages/Admin/Challenge/ChallengeAuthorizationPage.tsx                                | TypeScript React |         83 |          0 |         11 |         94 |
| /home/nsmyth/Dev/Alkemio/client-web/src/pages/Admin/Challenge/ChallengeList.tsx                                             | TypeScript React |         47 |          0 |          8 |         55 |
| /home/nsmyth/Dev/Alkemio/client-web/src/pages/Admin/Community/CommunityUpdatesPage.tsx                                      | TypeScript React |         46 |          0 |          6 |         52 |
| /home/nsmyth/Dev/Alkemio/client-web/src/pages/Admin/Ecoverse/EcoverseAuthorizationPage.tsx                                  | TypeScript React |         83 |          0 |         11 |         94 |
| /home/nsmyth/Dev/Alkemio/client-web/src/pages/Admin/Ecoverse/EcoverseList.tsx                                               | TypeScript React |         42 |          0 |          7 |         49 |
| /home/nsmyth/Dev/Alkemio/client-web/src/pages/Admin/Ecoverse/EditEcoverse.tsx                                               | TypeScript React |         82 |          0 |          9 |         91 |
| /home/nsmyth/Dev/Alkemio/client-web/src/pages/Admin/Ecoverse/NewEcoverse.tsx                                                | TypeScript React |         94 |          2 |         10 |        106 |
| /home/nsmyth/Dev/Alkemio/client-web/src/pages/Admin/GlobalAuthorizationPage.tsx                                             | TypeScript React |         72 |          0 |         11 |         83 |
| /home/nsmyth/Dev/Alkemio/client-web/src/pages/Admin/GlobalCommunityAuthorizationPage.tsx                                    | TypeScript React |         72 |          0 |         11 |         83 |
| /home/nsmyth/Dev/Alkemio/client-web/src/pages/Admin/Opportunity/OpportunityList.tsx                                         | TypeScript React |         50 |          0 |          8 |         58 |
| /home/nsmyth/Dev/Alkemio/client-web/src/pages/Admin/Organization/OrganizationAdminAuthorizationPage.tsx                     | TypeScript React |         47 |          0 |          7 |         54 |
| /home/nsmyth/Dev/Alkemio/client-web/src/pages/Admin/Organization/OrganizationAuthorizationPageProps.ts                      | TypeScript       |          2 |          0 |          2 |          4 |
| /home/nsmyth/Dev/Alkemio/client-web/src/pages/Admin/Organization/OrganizationCommunityPage.tsx                              | TypeScript React |         39 |          0 |          7 |         46 |
| /home/nsmyth/Dev/Alkemio/client-web/src/pages/Admin/Organization/OrganizationOwnerAuthorizationPage.tsx                     | TypeScript React |         47 |          0 |          7 |         54 |
| /home/nsmyth/Dev/Alkemio/client-web/src/pages/Admin/User/UserPage.tsx                                                       | TypeScript React |        161 |          2 |         22 |        185 |
| /home/nsmyth/Dev/Alkemio/client-web/src/pages/ApplyPage.tsx                                                                 | TypeScript React |        184 |          1 |         17 |        202 |
| /home/nsmyth/Dev/Alkemio/client-web/src/pages/Authentication/AuthRequiredPage.tsx                                           | TypeScript React |         43 |          0 |          4 |         47 |
| /home/nsmyth/Dev/Alkemio/client-web/src/pages/Authentication/LoginPage.tsx                                                  | TypeScript React |         78 |          0 |         10 |         88 |
| /home/nsmyth/Dev/Alkemio/client-web/src/pages/Authentication/LoginSuccessPage.tsx                                           | TypeScript React |         18 |          0 |          4 |         22 |
| /home/nsmyth/Dev/Alkemio/client-web/src/pages/Authentication/LogoutPage.tsx                                                 | TypeScript React |         16 |          0 |          6 |         22 |
| /home/nsmyth/Dev/Alkemio/client-web/src/pages/Authentication/RecoveryPage.tsx                                               | TypeScript React |         52 |          0 |          6 |         58 |
| /home/nsmyth/Dev/Alkemio/client-web/src/pages/Authentication/RegistrationPage.tsx                                           | TypeScript React |         73 |          0 |          8 |         81 |
| /home/nsmyth/Dev/Alkemio/client-web/src/pages/Authentication/RegistrationSuccessPage.tsx                                    | TypeScript React |         77 |          0 |          6 |         83 |
| /home/nsmyth/Dev/Alkemio/client-web/src/pages/Authentication/SettingsPage.tsx                                               | TypeScript React |         56 |          0 |          7 |         63 |
| /home/nsmyth/Dev/Alkemio/client-web/src/pages/Authentication/VerificationPage.tsx                                           | TypeScript React |         56 |          0 |          7 |         63 |
| /home/nsmyth/Dev/Alkemio/client-web/src/pages/Authentication/VerificationSuccessPage.tsx                                    | TypeScript React |         28 |          0 |          4 |         32 |
| /home/nsmyth/Dev/Alkemio/client-web/src/pages/Challenge.tsx                                                                 | TypeScript React |        363 |          0 |         24 |        387 |
| /home/nsmyth/Dev/Alkemio/client-web/src/pages/Ecoverse.tsx                                                                  | TypeScript React |        279 |          7 |         22 |        308 |
| /home/nsmyth/Dev/Alkemio/client-web/src/pages/Error.tsx                                                                     | TypeScript React |         37 |          0 |          4 |         41 |
| /home/nsmyth/Dev/Alkemio/client-web/src/pages/FourOuFour.css                                                                | CSS              |          3 |          0 |          0 |          3 |
| /home/nsmyth/Dev/Alkemio/client-web/src/pages/FourOuFour.tsx                                                                | TypeScript React |         24 |          0 |          3 |         27 |
| /home/nsmyth/Dev/Alkemio/client-web/src/pages/Messages.tsx                                                                  | TypeScript React |        266 |          1 |         22 |        289 |
| /home/nsmyth/Dev/Alkemio/client-web/src/pages/Opportunity.tsx                                                               | TypeScript React |        472 |          1 |         26 |        499 |
| /home/nsmyth/Dev/Alkemio/client-web/src/pages/ProfilePage.tsx                                                               | TypeScript React |         11 |          0 |          4 |         15 |
| /home/nsmyth/Dev/Alkemio/client-web/src/pages/Project/Index.tsx                                                             | TypeScript React |         57 |          0 |          8 |         65 |
| /home/nsmyth/Dev/Alkemio/client-web/src/pages/Project/New.tsx                                                               | TypeScript React |        132 |          0 |          9 |        141 |
| /home/nsmyth/Dev/Alkemio/client-web/src/pages/Restricted.tsx                                                                | TypeScript React |         26 |          0 |          4 |         30 |
| /home/nsmyth/Dev/Alkemio/client-web/src/pages/SearchPage.tsx                                                                | TypeScript React |        208 |          1 |         16 |        225 |
| /home/nsmyth/Dev/Alkemio/client-web/src/pages/User/EditUserProfilePage.tsx                                                  | TypeScript React |         87 |          3 |         15 |        105 |
| /home/nsmyth/Dev/Alkemio/client-web/src/pages/User/UserProfilePage.tsx                                                      | TypeScript React |         23 |          0 |         11 |         34 |
| /home/nsmyth/Dev/Alkemio/client-web/src/pages/common.ts                                                                     | TypeScript       |          4 |          0 |          2 |          6 |
| /home/nsmyth/Dev/Alkemio/client-web/src/pages/home/EcoversesSection.tsx                                                     | TypeScript React |         58 |          0 |          5 |         63 |
| /home/nsmyth/Dev/Alkemio/client-web/src/pages/home/Home.tsx                                                                 | TypeScript React |         27 |          0 |          5 |         32 |
| /home/nsmyth/Dev/Alkemio/client-web/src/pages/home/WelcomeSection.tsx                                                       | TypeScript React |        165 |          0 |          5 |        170 |
| /home/nsmyth/Dev/Alkemio/client-web/src/pages/index.ts                                                                      | TypeScript       |         10 |          0 |          1 |         11 |
| /home/nsmyth/Dev/Alkemio/client-web/src/pages/organization/CardProps.ts                                                     | TypeScript       |          4 |          0 |          1 |          5 |
| /home/nsmyth/Dev/Alkemio/client-web/src/pages/organization/HostedEcoverseCard.tsx                                           | TypeScript React |         40 |          0 |          5 |         45 |
| /home/nsmyth/Dev/Alkemio/client-web/src/pages/organization/InfoSection.tsx                                                  | TypeScript React |         59 |          0 |          6 |         65 |
| /home/nsmyth/Dev/Alkemio/client-web/src/pages/organization/LeadingChallengeCard.tsx                                         | TypeScript React |         36 |          0 |          5 |         41 |
| /home/nsmyth/Dev/Alkemio/client-web/src/pages/organization/MembershipSection.tsx                                            | TypeScript React |         55 |          0 |          8 |         63 |
| /home/nsmyth/Dev/Alkemio/client-web/src/pages/organization/OrganizationPage.tsx                                             | TypeScript React |        129 |          0 |          9 |        138 |
| /home/nsmyth/Dev/Alkemio/client-web/src/pages/organization/UserSection.tsx                                                  | TypeScript React |         64 |          0 |          7 |         71 |
| /home/nsmyth/Dev/Alkemio/client-web/src/react-app-env.d.ts                                                                  | TypeScript       |          0 |          1 |          1 |          2 |
| /home/nsmyth/Dev/Alkemio/client-web/src/root.tsx                                                                            | TypeScript React |         84 |          0 |          4 |         88 |
| /home/nsmyth/Dev/Alkemio/client-web/src/routing/ScrollToTop.tsx                                                             | TypeScript React |          9 |          3 |          5 |         17 |
| /home/nsmyth/Dev/Alkemio/client-web/src/routing/admin/ApplicationRoute.tsx                                                  | TypeScript React |         27 |          0 |          4 |         31 |
| /home/nsmyth/Dev/Alkemio/client-web/src/routing/admin/AuthorizationRouteProps.ts                                            | TypeScript       |          5 |          0 |          2 |          7 |
| /home/nsmyth/Dev/Alkemio/client-web/src/routing/admin/GlobalAuthorizationRoute.tsx                                          | TypeScript React |         24 |          0 |          3 |         27 |
| /home/nsmyth/Dev/Alkemio/client-web/src/routing/admin/GroupRoute.tsx                                                        | TypeScript React |         32 |          0 |          5 |         37 |
| /home/nsmyth/Dev/Alkemio/client-web/src/routing/admin/admin.tsx                                                             | TypeScript React |         43 |          0 |          4 |         47 |
| /home/nsmyth/Dev/Alkemio/client-web/src/routing/admin/challenge/ChallengeApplicationRoute.tsx                               | TypeScript React |         24 |          0 |          7 |         31 |
| /home/nsmyth/Dev/Alkemio/client-web/src/routing/admin/challenge/ChallengeAuthorizationRoute.tsx                             | TypeScript React |         20 |          0 |          3 |         23 |
| /home/nsmyth/Dev/Alkemio/client-web/src/routing/admin/challenge/ChallengeLifecycleRoute.tsx                                 | TypeScript React |         38 |          0 |         11 |         49 |
| /home/nsmyth/Dev/Alkemio/client-web/src/routing/admin/challenge/challenge.tsx                                               | TypeScript React |        100 |          0 |         10 |        110 |
| /home/nsmyth/Dev/Alkemio/client-web/src/routing/admin/community.tsx                                                         | TypeScript React |         88 |          0 |         11 |         99 |
| /home/nsmyth/Dev/Alkemio/client-web/src/routing/admin/ecoverse/EcoverseApplicationRoute.tsx                                 | TypeScript React |         22 |          0 |          6 |         28 |
| /home/nsmyth/Dev/Alkemio/client-web/src/routing/admin/ecoverse/EcoverseAuthorizationRoute.tsx                               | TypeScript React |         20 |          0 |          3 |         23 |
| /home/nsmyth/Dev/Alkemio/client-web/src/routing/admin/ecoverse/EcoverseGroupRoute.tsx                                       | TypeScript React |         28 |          0 |          6 |         34 |
| /home/nsmyth/Dev/Alkemio/client-web/src/routing/admin/ecoverse/ecoverse.tsx                                                 | TypeScript React |         92 |          0 |          8 |        100 |
| /home/nsmyth/Dev/Alkemio/client-web/src/routing/admin/opportunity/OpportunityLifecycleRoute.tsx                             | TypeScript React |         39 |          0 |         11 |         50 |
| /home/nsmyth/Dev/Alkemio/client-web/src/routing/admin/opportunity/opportunity.tsx                                           | TypeScript React |        105 |          0 |         10 |        115 |
| /home/nsmyth/Dev/Alkemio/client-web/src/routing/admin/organization/OrganizationAuthorizationRoute.tsx                       | TypeScript React |         25 |          0 |          4 |         29 |
| /home/nsmyth/Dev/Alkemio/client-web/src/routing/admin/organization/OrganizationGroupRoute.tsx                               | TypeScript React |         29 |          0 |          6 |         35 |
| /home/nsmyth/Dev/Alkemio/client-web/src/routing/admin/organization/organization.tsx                                         | TypeScript React |        139 |          0 |         20 |        159 |
| /home/nsmyth/Dev/Alkemio/client-web/src/routing/admin/user.tsx                                                              | TypeScript React |         51 |          1 |          7 |         59 |
| /home/nsmyth/Dev/Alkemio/client-web/src/routing/application/ApplyRoute.tsx                                                  | TypeScript React |         56 |          0 |          3 |         59 |
| /home/nsmyth/Dev/Alkemio/client-web/src/routing/application/ChallengeApplyRoute.tsx                                         | TypeScript React |         53 |          2 |          7 |         62 |
| /home/nsmyth/Dev/Alkemio/client-web/src/routing/application/EcoverseApplyRoute.tsx                                          | TypeScript React |         46 |          1 |          6 |         53 |
| /home/nsmyth/Dev/Alkemio/client-web/src/routing/ecoverse.tsx                                                                | TypeScript React |        195 |          2 |         33 |        230 |
| /home/nsmyth/Dev/Alkemio/client-web/src/routing/identity/error.tsx                                                          | TypeScript React |         34 |          0 |          6 |         40 |
| /home/nsmyth/Dev/Alkemio/client-web/src/routing/identity/identity.tsx                                                       | TypeScript React |         57 |          0 |          5 |         62 |
| /home/nsmyth/Dev/Alkemio/client-web/src/routing/identity/login.tsx                                                          | TypeScript React |         27 |          0 |          6 |         33 |
| /home/nsmyth/Dev/Alkemio/client-web/src/routing/identity/logout.tsx                                                         | TypeScript React |          6 |          0 |          2 |          8 |
| /home/nsmyth/Dev/Alkemio/client-web/src/routing/identity/recovery.tsx                                                       | TypeScript React |         14 |          0 |          5 |         19 |
| /home/nsmyth/Dev/Alkemio/client-web/src/routing/identity/registration.tsx                                                   | TypeScript React |         22 |          0 |          3 |         25 |
| /home/nsmyth/Dev/Alkemio/client-web/src/routing/identity/settings.tsx                                                       | TypeScript React |         13 |          0 |          4 |         17 |
| /home/nsmyth/Dev/Alkemio/client-web/src/routing/identity/verify.tsx                                                         | TypeScript React |         22 |          0 |          4 |         26 |
| /home/nsmyth/Dev/Alkemio/client-web/src/routing/messages.tsx                                                                | TypeScript React |         17 |          0 |          3 |         20 |
| /home/nsmyth/Dev/Alkemio/client-web/src/routing/organization.tsx                                                            | TypeScript React |         33 |          0 |          6 |         39 |
| /home/nsmyth/Dev/Alkemio/client-web/src/routing/project.tsx                                                                 | TypeScript React |         85 |          3 |         13 |        101 |
| /home/nsmyth/Dev/Alkemio/client-web/src/routing/restricted.tsx                                                              | TypeScript React |         14 |          0 |          4 |         18 |
| /home/nsmyth/Dev/Alkemio/client-web/src/routing/route.extensions.tsx                                                        | TypeScript React |         34 |          4 |         11 |         49 |
| /home/nsmyth/Dev/Alkemio/client-web/src/routing/routing.tsx                                                                 | TypeScript React |         76 |          0 |          3 |         79 |
